
lb_winLauncher_allScenes	All Scenes
lb_winLauncher_refresh	Refresh
lb_winLauncher_infoChangeImg	* Drop image-file to change picture, n' double click to edit text;
lb_winLauncher_name	Name
lb_winLauncher_search	Search
lb_winLauncher_infoSearch	* use space ' ' for any;
lb_winLauncher_createPeer	Create Peer
lb_winLauncher_createLeaf	Create Leaf
lb_winLauncher_infoCreate	* Any leaf will inherits its parent;

lb_winLauncher_save	Save

lb_winLauncher_delete	Delete...
lb_winLauncher_maintain	Maintain
lb_winLauncher_calculateAuto	Auto Calculate
lb_winLauncher_calculateManu	Manu Calculate
lb_winLauncher_msgBox_selectAScene_title	Warning
lb_winLauncher_msgBox_selectAScene_content	Select a Scene first.
lb_winLauncher_msgBox_error	Error
lb_winLauncher_msgBox_selectAScene_toDelete_title	To Delete
lb_winLauncher_msgBox_selectAScene_toDelete_content	Select a Scene first.
lb_winLauncher_msgBox_deleteScene_title	Delete Scene
lb_winLauncher_msgBox_deleteScene_content	Delete Scene[{0}]{1}with all its children{2}to Recycle Bin?!
lb_winLauncher_msgBox_selectAScene_toMaintain_title	To Continue
lb_winLauncher_msgBox_selectAScene_toMaintain_content	Select a Scene first.
lb_winLauncher_msgBox_selectAScene_toCalculate_title	To Continue
lb_winLauncher_msgBox_selectAScene_toCalculate_content	Select a Scene first.
lb_winLauncher_msgBox_noLanguageFile_title	Info
lb_winLauncher_msgBox_noLanguageFile_content	No language file.


lb_winCalculator_title	CC: Calculator
lb_winCalculator_preFilters	Pre-Filters
lb_winCalculator_procedures	Procedures
lb_winCalculator_accessories	Accessories
lb_winCalculator_channels	Channels
lb_winCalculator_inputs	Inputs
lb_winCalculator_outputs	Outputs
lb_winCalculator_msgBox_noChannel_title	Info
lb_winCalculator_msgBox_noChannel_content	No channel available.
lb_winCalculator_msgBox_noProductSelected_title	Info
lb_winCalculator_msgBox_noProductSelected_content	No product selected.
lb_winCalculator_msgBox_selectAProcessToContinue_title	Whick process?
lb_winCalculator_msgBox_selectAProcessToContinue_content	Select a process to continue.

lb_winCalculator_preconditions	Precondition
lb_winCalculator_manufacture	Manufacture
lb_winCalculator_search	Search
lb_winCalculator_msgBox_searchNoResult_title	Info
lb_winCalculator_msgBox_searchNoResult_content	Can't manufacture this thing in current condition.
lb_winCalculator_possibleCombinations	Possible combinations

lb_winCalculator_dg_count	Count
lb_winCalculator_dg_accessories	Accessories
lb_winCalculator_dg_inputs	Inputs
lb_winCalculator_dg_outputs	Outputs
lb_winCalculator_dg_optimizedChannels	Optimized Channels
lb_winCalculator_dg_processors	Processors

lb_winCalculator_quantify	Quantify
lb_winCalculator_processors	Processors
lb_winCalculator_outputSpeedPS	Output speed (/s)
lb_winCalculator_outputSpeedPM	Output speed (/m)
lb_winCalculator_outputSpeedPH	Output speed (/h)

lb_winCalculator_graphAlpha	Graph α
lb_winCalculator_zoomOut	Zoom Out
lb_winCalculator_originScale	Origin Scale
lb_winCalculator_zoomIn	Zoom In
lb_winCalculator_saveAsImage	Save As Img...

lb_winCalculator_newCalculator	New Cal



lb_winSelectThings_titleSelectSingle	CC: Select a thing
lb_winSelectThings_titleSelectMultiple	CC: Select things
lb_winSelectThings_thingsInScene	Things in
lb_winSelectThings_thingsFrom	Things from[{0}]

lb_winSelectThings_dg_pic	Pic
lb_winSelectThings_dg_ds	Ds
lb_winSelectThings_dg_rl	Rl
lb_winSelectThings_dg_name	Name
lb_winSelectThings_dg_type	Type

lb_winSelectThings_infoDisableInvisible	* Disabled item will not show here.
lb_winSelectThings_name	Name
lb_winSelectThings_search	Search
lb_winSelectThings_type	Type
lb_winSelectThings_picture	Picture
lb_winSelectThings_description	Description
lb_winSelectThings_ok	OK
lb_winSelectThings_cancel	Cancel
lb_winSelectThings_infoCtrlEnter	* Ctrl+Enter



lb_winMaintain_title	CC: Maintain
lb_winMaintain_things	Things
lb_winMaintain_dg_pic	Pic
lb_winMaintain_dg_ds	Ds
lb_winMaintain_dg_rl	Rl
lb_winMaintain_dg_name	Name
lb_winMaintain_dg_type	Type

lb_winMaintain_deselect	Deselect
lb_winMaintain_clear	Clear
lb_winMaintain_name	Name
lb_winMaintain_search	Search
lb_winMaintain_id	ID
lb_winMaintain_parentId	ParentID
lb_winMaintain_myId	MyID
lb_winMaintain_isDisabled	isDisabled
lb_winMaintain_unit	Unit
lb_winMaintain_description	Description
lb_winMaintain_picture	Picture
lb_winMaintain_infoChangeImage	* Drop File to change, or Ctrl+V to get image in clipboard;
lb_winMaintain_delete	Delete...
lb_winMaintain_animaInfo_saved	Saved !
lb_winMaintain_animaInfo_deleted	Deleted !

lb_winMaintain_createUpdate	Create/Update
lb_winMaintain_create	Create
lb_winMaintain_update	Update
lb_winMaintain_inherite	Inherite
lb_winMaintain_preIdInherite	(inherited)

lb_winMaintain_info	Info
lb_winMaintain_warning	Warning
lb_winMaintain_msgBox_cantDelUsedByChannel_content	Cant delete, it's used by Channel[{0}].
lb_winMaintain_msgBox_cantDelUsedByRecipe_content	Cant delete, it's used by Recipe[{0}].
lb_winMaintain_msgBox_confirmToDeleteThing_content	Delete thing[{0}],{1}Continue?!
lb_winMaintain_msgBox_confirmToDeleteChannel_content	Delete channel[{0}],{1}Continue?!
lb_winMaintain_msgBox_channelMustHasAName_title	Stop
lb_winMaintain_msgBox_channelMustHasAName_content	Channel must has a name.
lb_winMaintain_msgBox_channelMustHasSpeed_title	Stop
lb_winMaintain_msgBox_channelMustHasSpeed_content	Speed is not a number.
lb_winMaintain_msgBox_confirmToDeleteRecipe_content	Delete recipe[{0}],{1}Continue?!
lb_winMaintain_msgBox_recipeMustHasAName_title	Stop
lb_winMaintain_msgBox_recipeMustHasAName_content	Recipe must has a name.
lb_winMaintain_msgBox_periodMustGreatorThanZero_title	Stop
lb_winMaintain_msgBox_periodMustGreatorThanZero_content	Recipe period must greator than zero.

lb_winMaintain_channels	Channels
lb_winMaintain_content	Content
lb_winMaintain_speed	Speed
lb_winMaintain_add	Add...
lb_winMaintain_dg_counts	Counts
lb_winMaintain_dg_nameNingredients	Name N' Ingredients
lb_winMaintain_ingred	Ingred
lb_winMaintain_processor	Processor
lb_winMaintain_infoDoubleClickIconToChange	* Double click icon to change;
lb_winMaintain_periodSec	Period(sec)
lb_winMaintain_accessories	Accessories
lb_winMaintain_inputs	Inputs
lb_winMaintain_outputs	Outputs

lb_winMaintain_recipes	Recipes
lb_winMaintain_lookingFor	Looking for
lb_winMaintain_all	All



lb_winCalculatorManu_title	CC: Calculator-Manu
lb_winCalculatorManu_recipe	Recipe
lb_winCalculatorManu_lookingFor	Looking for
lb_winCalculatorManu_inputs	Inputs
lb_winCalculatorManu_recipes	Recipes
lb_winCalculatorManu_outputs	Outputs

lb_winCalculatorManu_graph	Graph
lb_winCalculatorManu_currentGraph	Current Graph
lb_winCalculatorManu_currentGraphDescription	Description
lb_winCalculatorManu_graphDelete	Delete...
lb_winCalculatorManu_graphClear	Clear
lb_winCalculatorManu_graphSave	Save
lb_winCalculatorManu_graphSaveAs	Save As...

lb_winCalculatorManu_graphReady	[ Ready ]
lb_winCalculatorManu_graphSaved	[ Saved ]
lb_winCalculatorManu_graphLoaded	[ Loaded ]
lb_winCalculatorManu_graphDeleted	[ Deleted ]
lb_winCalculatorManu_graphComplete	[Complete]

lb_winCalculatorManu_graphList	Graph List

lb_winCalculatorManu_simSpeed	Sim Speed
lb_winCalculatorManu_setToBase	Set to Base
lb_winCalculatorManu_simSpeedReset	Reset



lb_winCalculatorManu_contextMenuItem_deleteNode	(_D)Delete Node
lb_winCalculatorManu_contextMenuItem_deleteLink	(_X)Delete Link
lb_winCalculatorManu_contextMenuItem_setMultiple	(_M)Set Multiple...
lb_winCalculatorManu_contextMenuItem_autoFinish	(_A)Auto Finish




lb_winSelectChannels_titleSelectSingle	CC: Select a channel
lb_winSelectChannels_titleSelectMultiple	CC: Select channels
lb_winSelectChannels_channelsInScene	Channels in
lb_winSelectChannels_infoDarkenToFilterOut	* Darken to filter out.
lb_winSelectChannels_name	Name
lb_winSelectChannels_picture	Picture
lb_winSelectChannels_description	Description
lb_winSelectChannels_contains	Contains

lb_winSelectChannels_ok	OK
lb_winSelectChannels_cancel	Cancel
lb_winSelectChannels_infoCtrlEnter	* Ctrl+Enter




lb_winNodeSpeed_title	Node Speed
lb_winNodeSpeed_speedUnitPS	units/sec
lb_winNodeSpeed_speedUnitPM	units/min
lb_winNodeSpeed_speedUnitPH	units/hour
lb_winNodeSpeed_using	using
lb_winNodeSpeed_quantity	Quantity
lb_winNodeSpeed_cur	Cur
lb_winNodeSpeed_new	New
lb_winNodeSpeed_accessories	Accessories
lb_winNodeSpeed_ok	_OK
lb_winNodeSpeed_cancel	_Cancel
lb_winNodeSpeed_applyToAll	_Apply to all


lb_portSpeed_cur	Cur
lb_portSpeed_new	New
lb_portSpeed_match	Match



lb_winLinkSpeed_title	Link Speed
lb_winLinkSpeed_speedUnitPS	units/sec
lb_winLinkSpeed_speedUnitPM	units/min
lb_winLinkSpeed_speedUnitPH	units/hour
lb_winLinkSpeed_channel	Channel
lb_winLinkSpeed_quantity	Quantity
lb_winLinkSpeed_cur	Cur
lb_winLinkSpeed_new	New

lb_winLinkSpeed_matchSource	Match Source
lb_winLinkSpeed_matchTarget	Match Target
lb_winLinkSpeed_ok	_OK
lb_winLinkSpeed_cancel	_Cancel
lb_winLinkSpeed_applyToAll	_Apply to all

lb_linkSpeed_cur	Cur
lb_linkSpeed_new	New


