SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
0,Warning,,,,"Trigger Warning

Mylovely Wife(Reader) contains scenes and imagery some readers may find emotionally disturbing, including themes of physically and emotionally abusive relationships, as well as manipulation and domestic violence.

Reader discretion is advised.",,
1,Berith,I-1,,,Berith,,
,,,,,"Nothing much has changed, huh.",,
,,,,,Humans are looking pathetic as usual.,,
,,,,,,(Why is she looking at me like that...),
,,,,,What do you want?,,
,,,,,,N-no... I just figured that we should get to know each other...,
,,,,,A mere mortal like you? Psh.,,
,,,,,What do you even know about succubus anyway?,,
,,,1-1-A,I-2,More about you.,,
,,,,,,"Umm, actually, I'm more interested to learn about you.",
,,,,,How impudent.,,
,,,,,Let this sink into your thin skull. I'm not here to entertain you.,,
,,,,,Let's get this over with. I have more important things to do.,,
,,,,,,I- I don't think this can be rushed...,
,,,,,"Tskk, so slow.",,
,,,1-1-B,II-4,I'm not sure.,,
,,,,,,I... I don't really know myself.,
,,,,,,I only know that there are many types of succubus...,
,,,,,,And you are all truly intriguing.,
,,,,,What was that?,,
,,,,,,...?,
,,,,,You insolent...,,
,,,,,Don't lump me with other lowly succubi!,,
,,,,,,(Why is she mad?),
,,I-2,,,,,
,,,,,"Oh, it's just you.",,
,,,,,You done with your business?,,
,,,,,,Not yet...,
,,,,,"Ugh, so troublesome.",,
,,,,,I just want to go back home. My kind are waiting for me.,,
,,,1-2-A,,Your kind?,,
,,,,,,Do you mean that there are many others who are like you?,
,,,,,"They might not be as perfect as I am, but, my kind is the best.",,
,,,,,"I mean, we're the ones who were trusted by the Demon Queen herself.",,
,,,1-2-A-A,II-1,Demon Queen.,,
,,,,,,The Demon Queen?,
,,,,,"The ruler of the Demon Realm, of course.",,
,,,,,,That's awesone... That must mean you're really powerful!,
,,,,,Are you mocking me? Of course I am!,,
,,,,,"In fact, why don't I test my power on you now, since you're so annoying?",,
,,,,,,P-please don't...,
,,,,,Tch.,,
,,,1-2-A-B,II-3,Were?,,
,,,,,,Why are you talking in the past tense?,
,,,,,...,,
,,,,,,Is there something wrong?,
,,,,,It's because... Her Highness is...,,
,,,,,If only she were still here... I... We... We wouldn't have...,,
,,,,,We wouldn't have to face this humiliation.,,
,,,,,,(I better go...),
,,,1-2-B,,Go back home.,,
,,,,,,You can't go back home?,
,,,,,Sigh.,,
,,,,,"I hate to say this, but I have to carry out my duties.",,
,,,1-2-B-A,II-4,Admirable duty.,,
,,,,,,"Going to the Human Realm and carrying your duty for hundreds- no, thousands of years...",
,,,,,Don't get me wrong.,,
,,,,,Collecting Carnal Essence from human men is just a basic need to us succubi.,,
,,,,,My kind have a more noble duty to carry out.,,
,,,,,,...,
,,,,,What?,,
,,,,,,"Ah, no, I just think that it's really admirable.",
,,,,,Mmhm.,,
,,,,,,,
,,,1-2-B-B,I-3,I can't imagine.,,
,,,,,,Ugh... I can't imagine having to do that for thousands of years.,
,,,,,What do you mean?,,
,,,,,,Going to the Human Realm... and preying on men...,
,,,,,You think we WANT to?, ,
,,,,,Don't think so highly of yourself.,,
,,,,,The only thing that's good about you humans... is your Carnal Essence.,,
,,,,,,That's not what I-,
,,,,,Scram!,,
,,,,,,,
,,I-3,,,,,
,,,,,,"Excuse me, umm...",
,,,,,State your business. I don't have much time to spare.,,
,,,,,,Do you need anything?,
,,,,,,I figured if I can be of any help...,
,,,,,"Hmph, you think I'd fall for your act?",,
,,,1-3-A,II-3,I'm your summoner.,,
,,,,,,But I was the one who summoned you here...,
,,,,,And? You think I owe you something?,,
,,,,,"Know your place, fool! You are merely prey.",,
,,,,,"Once this ends, I'll suck you dry and throw you away.",,
,,,,,,...!,
,,,,,You should be grateful that I will be the one who will take your life.,,
,,,,,"After all, you're in the presence of the right hand of the Demon Queen herself!",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,1-3-B,II-4,You are so hostile.,,
,,,,,,Are all other succubi like you...?,
,,,,,What do you mean by that?,,
,,,,,,Ah? N- nothing.,
,,,,,,"I mean, since there must be a lot of succubi...",
,,,,,Those lowly succubi...,,
,,,,,They have forgotten the most important thing in the realm and then live as they please!,,
,,,,,They are nothing compared to me... Compared to my kind!,,
,,,,,,(Seems like she didn't hear me.),
,,II-1,,,,,
,,,,,Her Highness Agrath...,,
,,,,,,Agrath? Is she the Demon Queen?,
,,,,,Do not speak so casually of her!,,
,,,,,,I- I'm sorry. She must be very important to you.,
,,,,,We've been by her side ever since the beginning.,,
,,,,,We were her only trusted succubi.,,
,,,,,Yet the others dare to forget about us!,,
,,,2-1-A,II-3,Don't dwell on the past.,,
,,,,,,"This is just my two cents, but...",
,,,,,,"I think you should accept the fact that she's no longer here, and move on...",
